epoch,accuracy,loss,val_accuracy,val_loss
0,0.2083333283662796,1.4047073125839233,0.25,1.386111855506897
1,0.25,1.3796066045761108,0.25,1.3852089643478394
2,0.2395833283662796,1.3644245862960815,0.25,1.381422996520996
3,0.3541666567325592,1.3162357807159424,0.5,1.2749277353286743
4,0.4166666567325592,1.2317346334457397,0.5,1.0236092805862427
5,0.5416666865348816,0.8577804565429688,0.75,0.6593766212463379
6,0.6875,0.6189234852790833,0.6666666865348816,0.7088889479637146
7,0.7395833134651184,0.5067645907402039,0.9166666865348816,0.3709651231765747
8,0.8020833134651184,0.40885329246520996,0.8333333134651184,0.33325958251953125
9,0.8854166865348816,0.30699384212493896,0.8333333134651184,0.31222212314605713
10,0.8125,0.3769819438457489,0.9166666865348816,0.24436908960342407
11,0.8333333134651184,0.34852707386016846,0.9166666865348816,0.22095291316509247
12,0.8541666865348816,0.2974233031272888,0.9166666865348816,0.24175484478473663
13,0.8645833134651184,0.28591224551200867,0.9166666865348816,0.19955897331237793
14,0.8645833134651184,0.3073606491088867,0.9166666865348816,0.2568492591381073
15,0.84375,0.2813354432582855,0.9166666865348816,0.21466656029224396
16,0.8854166865348816,0.30683398246765137,0.9166666865348816,0.2418743222951889
17,0.8854166865348816,0.23787151277065277,0.9166666865348816,0.18494467437267303
18,0.875,0.26045456528663635,0.9166666865348816,0.18477226793766022
19,0.8333333134651184,0.3026839792728424,0.9166666865348816,0.17866219580173492
20,0.875,0.20285986363887787,0.9166666865348816,0.13561642169952393
21,0.875,0.2917861044406891,0.9166666865348816,0.15577927231788635
22,0.8958333134651184,0.2076776623725891,0.9166666865348816,0.15642544627189636
23,0.9270833134651184,0.21996600925922394,0.8333333134651184,0.288211852312088
24,0.7708333134651184,0.5275450348854065,0.9166666865348816,0.1921929121017456
25,0.9375,0.17871175706386566,0.8333333134651184,0.25007757544517517
26,0.9375,0.230011984705925,0.8333333134651184,0.22258156538009644
